First Name,Last Name,Title,Company,Email,Street,State/Province,ZIP/Postal Code,Lead Status
Courtney,Phillips,Manager,"Green, Hill and Parks",carol60@gmail.com,8835 Anthony Drive Suite 010,Texas,64440,Qualified
Lisa,Chambers,Manager,Lowe-Holmes,christinawright@payne-porter.com,1055 Barnes Stream Apt. 767,Illinois,96239,Unqualified
Mary,Ball,CEO,Knight PLC,samanthamoody@davis.com,8653 William Shores,North Dakota,71291,Unqualified
Melissa,Reed,Sales Executive,Weaver-Ramirez,mfinley@yahoo.com,96421 Moody Route,South Carolina,1876,New
Brian,Waller,Manager,"Coleman, Ryan and Calderon",deborah62@gmail.com,13723 Wayne Shores,South Carolina,60431,Unqualified
Rhonda,Hernandez,CEO,Robinson-Clayton,kbeck@yahoo.com,58558 Debra Ferry,Minnesota,14460,Unqualified
Randy,Wilkinson,Founder,James Group,gregorydoyle@wilson-brooks.com,06504 Joshua Manors Apt. 488,Kansas,93531,Unqualified
Kimberly,Knox,Marketing Specialist,"Evans, Williams and Bean",nalvarado@yahoo.com,80413 Jay Trafficway Apt. 446,Missouri,20610,New
Catherine,Romero,Marketing Specialist,Watkins Group,glenda36@brooks.com,60994 Timothy Hills,New Jersey,22998,Qualified
Annette,Terry,Sales Executive,"Mason, Hale and Soto",pball@leonard-bell.biz,6311 Matthews Wall Apt. 877,Montana,52945,Unqualified
Kelsey,Mason,Marketing Specialist,Anderson-Rogers,millerryan@gmail.com,84757 Maynard Trail,Nevada,9999,Qualified
Alisha,Mueller,Manager,West PLC,hicksjoe@brown.org,3889 Cummings Squares Apt. 212,Illinois,18980,Unqualified
Joseph,Johnson,Sales Executive,Roth-Pittman,mcbridesarah@spencer.com,779 Peterson Port,Rhode Island,55889,Qualified
Lisa,Price,Manager,Armstrong-Richards,thomas79@burke-fernandez.com,3006 Susan Well,South Dakota,33020,Converted
Nicole,Montoya,Marketing Specialist,Jennings Inc,gracenguyen@yahoo.com,199 Roberts Mountains,South Dakota,74071,Contacted
Timothy,Salinas,Director,Flores-Norton,pittmanwendy@hotmail.com,299 Mary Plain Suite 333,Nevada,5110,Unqualified
Sean,Charles,Director,Yates-Duran,evansrachel@white-wells.com,804 Alicia Green Apt. 062,Illinois,21095,Converted
Brad,Cordova,CEO,Ortiz-Park,nathan97@williams.com,9673 Perez Knoll,Illinois,85872,Unqualified
Gerald,Ramirez,CEO,Washington and Sons,kacosta@gmail.com,9976 Higgins Passage Apt. 247,Minnesota,22026,New
Carlos,Hernandez,Founder,"Cunningham, Wheeler and Moss",michael85@yahoo.com,47998 James Port,North Carolina,40322,Contacted
Kevin,Washington,Sales Executive,Figueroa-Henson,xhughes@gmail.com,8066 Reed Stream Suite 369,Georgia,40551,New
Kimberly,Thornton,Sales Executive,"Delacruz, Brown and Collins",riveraanthony@henderson.com,7611 Moody Hills Suite 080,Oregon,76975,Unqualified
Crystal,Carter,CEO,Roman Group,brett28@hull.info,14049 Jodi Cliff,Massachusetts,68355,New
Shelley,Bruce,CEO,"Martin, Moran and Young",lsmith@gmail.com,96637 Mendoza Harbor,Ohio,2476,Unqualified
Shannon,Ortiz,Sales Executive,Alvarez-Brown,rhodesstacey@yahoo.com,5437 Dana Pike,Alabama,55422,Converted
Darrell,Benitez,Marketing Specialist,"Kelly, Ellis and Barnett",adamallen@henry-anderson.com,0135 Rivera Oval Suite 838,Washington,53499,New
Mark,Miller,Marketing Specialist,Reynolds-Smith,jason38@hotmail.com,093 Jamie Center Suite 734,Alaska,43306,Contacted
William,Guerrero,Founder,"Wise, Peterson and Miller",mhall@powell-mckay.info,10533 Brittney Garden,Pennsylvania,66123,New
Lance,Morrison,Manager,Turner-Lee,jeffreycarter@harding.com,0224 Amy Drive,Hawaii,40118,Contacted
Lee,Allen,Marketing Specialist,Rodriguez and Sons,connor18@mitchell-morgan.info,8035 Christopher Trail Suite 478,Hawaii,62270,Qualified
Jason,Morales,Sales Executive,Kemp-Robbins,jeffreypeters@hotmail.com,256 Gonzales Parks Apt. 794,Massachusetts,75863,Contacted
Kevin,Rodriguez,Sales Executive,"Thomas, Hicks and Davenport",edward52@hotmail.com,779 Lozano Tunnel,West Virginia,11642,Converted
Shane,Baldwin,Manager,"Becker, Myers and Baker",smithvirginia@yahoo.com,4850 Butler Village Suite 399,Michigan,89391,Converted
Emily,Williams,Sales Executive,Johnson and Sons,jeremy10@flores-blake.com,756 Lance Track,Connecticut,29539,Qualified
Jenna,Taylor,CEO,Burch-Maxwell,brentali@miller-taylor.net,2628 Graham Street Apt. 268,North Dakota,16027,Qualified
Wesley,Brown,Sales Executive,Scott Ltd,holly86@hood.com,814 Schmidt Parks Apt. 884,Illinois,11980,Converted
Joshua,Jones,CEO,Hudson Ltd,whiteheadjessica@hotmail.com,614 Amanda Causeway Suite 562,Colorado,5969,Contacted
Travis,Brewer,CEO,Moore-Velasquez,lindseyjohn@mcdonald.info,498 Rachel Heights,West Virginia,75565,Converted
Michael,Grant,Founder,Parker-Garrett,kberry@gmail.com,20876 Medina Path,California,20870,Unqualified
John,Williams,Manager,Arroyo LLC,charlespeters@lee.com,760 Reilly Circle,Montana,68812,Contacted
David,Benjamin,Manager,Hart Inc,laura47@gmail.com,3957 Clark Cove Suite 431,North Carolina,79934,Contacted
Jesse,Lucero,CEO,"Spencer, Lynch and Simpson",urobertson@richardson.com,0604 Gould Shoals Apt. 617,Connecticut,1724,New
Mary,Norman,Founder,Ortega-Marquez,marcus90@montgomery.com,11915 Melissa Villages,Illinois,98367,Qualified
Spencer,Wright,Director,Flores and Sons,jerrywhite@hotmail.com,447 Dominguez Hill Apt. 351,Washington,70602,Converted
Sarah,Miller,Founder,Murray Inc,jeremydickson@brewer-gonzales.com,905 James Unions Suite 345,Kentucky,61060,Qualified
Sabrina,Jimenez,Sales Executive,Gibson Ltd,hannahmacdonald@mora.biz,0871 Steven Valleys Suite 446,Rhode Island,21953,Unqualified
Roy,Brady,Director,Santana-Castillo,jameslopez@gmail.com,2750 Jennifer Meadow,Montana,51567,Unqualified
Victoria,White,Director,Mcmahon Group,carlthomas@gmail.com,432 Joshua Views,Oklahoma,93447,Unqualified
Mike,Roberts,Manager,"Flores, Knapp and Smith",carrollanne@doyle-cox.info,737 Brian Road,Delaware,95826,Qualified
William,Grant,Founder,Kirk-Henderson,lee83@gmail.com,33669 Eric Plaza,Vermont,12240,Unqualified
Ashley,Garcia,Sales Executive,"Sanford, Nelson and Stokes",holmesjames@wheeler-anderson.com,367 Samantha Valleys,Mississippi,63107,Unqualified
Marcia,Mitchell,Director,Lee Ltd,heather14@faulkner.info,865 Jessica Prairie,Maryland,3491,Unqualified
Marcus,Carr,Marketing Specialist,Davis-Sims,nblackburn@hansen-bell.com,243 Jordan Mills Apt. 865,Indiana,30349,Contacted
Carlos,Johnson,Manager,"Leon, Vargas and Gray",danaburke@yahoo.com,6848 Sean Inlet Apt. 498,Texas,82792,Converted
Thomas,Keith,CEO,Hill-Carrillo,harellano@green.com,95791 Christopher River,Pennsylvania,41970,Qualified
Kathryn,Mcconnell,Marketing Specialist,"Li, Henderson and Green",clayton01@hotmail.com,41123 Hall Passage,Arkansas,48537,Contacted
Joshua,Ryan,Director,Hernandez-Cole,jenniferriley@gray-wilson.net,468 Michelle Canyon Apt. 427,South Dakota,37216,Contacted
Michael,Caldwell,Marketing Specialist,"Stewart, Johnson and Mendoza",kaylee43@hotmail.com,07302 Joshua Estates,Maine,77214,Contacted
Leslie,Warner,CEO,"Russell, Stone and Rivera",nathancooper@gmail.com,6038 Gomez Ridge,Texas,16048,New
Christine,Jenkins,Manager,Flores-Weeks,knappryan@porter.info,76128 Elizabeth Wells,Florida,71747,Qualified
Shawn,Mack,CEO,"Graham, Frank and Baker",angelaparker@jones.com,10563 Sanchez Turnpike,Rhode Island,51908,New
Carlos,Jones,CEO,Brooks PLC,martindevon@thomas-mckee.com,555 Nelson Rest Suite 566,Iowa,39446,Unqualified
Jenna,Fitzgerald,Founder,Obrien Inc,ryanwilliams@mitchell-bennett.com,505 Cochran Ways Apt. 785,Virginia,83682,New
Michelle,Richmond,Sales Executive,Smith-Mitchell,wendysullivan@hotmail.com,4477 Brown Ports,North Carolina,80929,Unqualified
Laura,Young,Manager,Cole Ltd,kelsey77@hardin.net,877 Bishop Villages,Rhode Island,58933,Qualified
